Respond-ent ID,StartDate,CompletedDate,Q1: To what extent do you think low oil prices impact the Alberta government's ability to budget?,Q2: How concerned are you about the $7B shortfall?,"Q3: Should government take action now, wait six months, or hold out for high oil prices?",Q4: Government needs:,Question 5 a) Cut spending,Question 5 b) Raise taxes and user fees,Question 5 c) Borrow money,Question 6 a) Reduce expenditures,Question 6 b) Raise taxes and user fees,Question 6 c) Run a deficit,"Q7: Are current tax rates in Alberta higher, above average or lower?",Q8: How important is it that AB taxes are lower?,Q9: In what ways can the government act to increase revenue without jeopardizing Alberta's competitive position?  (1 = selected; 0 = not selected),,,,,,,,,"Q10: If the government needs to increase its revenues through taxation, are there options you feel should NOT be considered?                                                                 (1 = selected; 0 = not selected)",,,,,,,Q11: Where would you tolerate cuts?  (1 = Selected; 0 = Not Selected),,,,,,,,,,,Q12: And are there options you feel should NOT be touched?  (1 = Selected; 0 = Not selected),,,,,,,,,,,"Q13: Indicate whether you Don't Know, Disagree or Agree.  (1 =  Don't know; 2 = Disagree; 3 = Agree)",,,,,,Q15: Years you've lived in AB,Q16: What part of the province do you live in?
7224038,2015.02.06 20:33,2015.02.06 20:49,4,2,1,1,1,4,1,10,80,10,3,4,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,3,2,3,2,3,2,2,5
7226246,2015.02.06 9:52,2015.02.06 10:0,2,2,3,1,1,3,3,0,50,50,3,4,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,3,2,3,3,3,2,3,4
7226745,2015.02.09 21:11,2015.02.09 21:19,2,1,2,1,1,4,3,0,75,25,3,4,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,3,2,3,3,3,2,1,5
7227757,2015.02.06 14:55,2015.02.06 15:29,1,2,1,3,2,3,3,80,20,0,3,2,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,3,3,3,2,3,2,2,3
7238196,2015.02.06 12:11,2015.02.06 12:25,2,2,2,2,1,1,3,0,0,100,2,2,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,3,3,3,3,3,2,2,4
7246556,2015.02.06 8:34,2015.02.06 8:42,1,3,2,1,2,3,4,15,35,50,3,3,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,2,3,3,2,3,4
7246872,2015.02.06 9:13,2015.02.06 9:25,1,2,1,3,4,1,2,80,10,10,3,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,3,3,2,2,2,4
7247866,2015.02.07 10:3,2015.02.07 10:21,2,2,1,3,2,3,1,50,50,0,3,3,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,3,3,3,2,3,2,2,5
7249505,2015.02.06 8:16,2015.02.06 9:5,2,2,2,2,1,2,3,50,30,20,2,2,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3,3,3,3,3,2,2,4
7249643,2015.02.06 7:47,2015.02.06 7:57,1,1,1,1,3,4,4,30,30,40,3,3,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,3,3,3,3,2,2,4
7249644,2015.02.06 7:48,2015.02.06 7:56,2,3,2,2,1,2,4,50,0,50,3,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,3,3,3,2,3,2,1,3
7249645,2015.02.06 7:47,2015.02.06 7:53,1,1,2,2,3,3,1,75,25,0,3,2,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,3,3,3,2,2,3,2,5
7249651,2015.02.06 7:48,2015.02.06 7:55,1,1,1,3,1,3,1,50,50,0,3,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,3,3,3,2,3,2,3,4
7249652,2015.02.06 7:48,2015.02.06 7:57,1,1,1,2,4,1,1,90,10,0,3,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,3,3,1,2,3,2,5
7249654,2015.02.06 7:48,2015.02.06 7:56,1,2,2,1,1,3,3,20,50,30,3,3,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,3,3,3,1,3,2
7249655,2015.02.06 7:48,2015.02.06 7:53,1,2,1,1,1,1,4,50,25,25,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2,2,1,1,1,4
7249656,2015.02.06 7:48,2015.02.06 7:55,2,2,2,3,3,1,2,90,0,10,3,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,3,2,1,2,5
7249657,2015.02.06 7:48,2015.02.06 7:53,2,2,2,1,1,4,2,15,75,10,3,3,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,3,2,3,2,3,2,2,5
7249659,2015.02.06 7:48,2015.02.06 8:30,4,2,2,2,1,1,3,50,0,50,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,3,3,3,3,2,2,5
